,open,high,low,close,volume,value
2021-06-04 09:00:00,31270.0,31290.0,28000.0,29120.0,2197310.32100796,64602998997.545975
2021-06-05 09:00:00,29120.0,30330.0,27500.0,28090.0,1600135.25296508,46324053670.93979
2021-06-06 09:00:00,28100.0,28650.0,27620.0,28220.0,954706.5989398,26803603974.206074
2021-06-07 09:00:00,28220.0,29170.0,24850.0,25210.0,1384877.92258498,37970406214.818695
2021-06-08 09:00:00,25210.0,26030.0,23000.0,24990.0,2254758.95451638,55677254882.56933
2021-06-09 09:00:00,24990.0,26980.0,23490.0,26820.0,1582871.47931862,39862593407.00305
2021-06-10 09:00:00,26830.0,28400.0,25920.0,26480.0,1497487.4641409,40936538377.44892
2021-06-11 09:00:00,26490.0,26990.0,24000.0,24500.0,1011471.11633126,26017428666.1915
2021-06-12 09:00:00,24500.0,24750.0,22750.0,24150.0,1065536.20078706,25406997773.924587
2021-06-13 09:00:00,24120.0,25700.0,23280.0,25300.0,748730.97686984,18179975420.02909
2021-06-14 09:00:00,25280.0,29970.0,24550.0,29770.0,3311500.44004124,92543576525.15137
2021-06-15 09:00:00,29760.0,30000.0,27400.0,27710.0,3090877.56555651,87884168059.16254
2021-06-16 09:00:00,27710.0,28210.0,26300.0,27230.0,2135542.84969341,58362961159.74487
2021-06-17 09:00:00,27210.0,27910.0,26460.0,26990.0,1184527.23356536,32396203580.5568
2021-06-18 09:00:00,26990.0,26990.0,24700.0,25560.0,1005192.89649517,25876688778.49313
2021-06-19 09:00:00,25560.0,25770.0,24520.0,24600.0,622213.48360886,15540829725.046183
2021-06-20 09:00:00,24580.0,25000.0,22680.0,24640.0,1026685.64022068,24572793697.35557
2021-06-21 09:00:00,24640.0,24810.0,18020.0,18620.0,2460268.77103738,51686340579.11255
2021-06-22 09:00:00,18620.0,19900.0,15270.0,17100.0,3312840.92555622,57946407382.82719
2021-06-23 09:00:00,17070.0,19420.0,16200.0,18350.0,1963735.422106,35968561922.97562
2021-06-24 09:00:00,18370.0,19190.0,17170.0,18800.0,2547842.16183236,46862780605.93483
2021-06-25 09:00:00,18790.0,19440.0,17000.0,17010.0,2546107.07102817,46265892361.14253
2021-06-26 09:00:00,17000.0,17530.0,16270.0,17290.0,1233028.06941564,20824975580.119904
2021-06-27 09:00:00,17290.0,17870.0,16690.0,17690.0,874911.45302497,15071438856.841864
2021-06-28 09:00:00,17690.0,18700.0,17190.0,18310.0,1193552.55155728,21241201915.64688
2021-06-29 09:00:00,18310.0,21130.0,18230.0,19530.0,2221641.88726617,43244258543.273224
2021-06-30 09:00:00,19470.0,20300.0,18490.0,19810.0,1583436.67896621,30512999827.60597
2021-07-01 09:00:00,19800.0,19810.0,18350.0,18890.0,1032879.98713729,19522862785.716084
2021-07-02 09:00:00,18870.0,19130.0,17840.0,18600.0,797540.52719975,14621832227.46711
2021-07-03 09:00:00,18600.0,19100.0,18130.0,18880.0,605389.00113679,11332058063.337677
2021-07-04 09:00:00,18880.0,19710.0,18500.0,19040.0,804379.11159927,15353166838.962303
2021-07-05 09:00:00,19030.0,19200.0,17910.0,18300.0,898612.58521674,16675732567.892437
2021-07-06 09:00:00,18310.0,19150.0,18200.0,19030.0,835981.48515653,15630447244.41009
2021-07-07 09:00:00,18980.0,20840.0,18850.0,19800.0,3146965.39518895,62351975522.06487
2021-07-08 09:00:00,19800.0,19880.0,17850.0,18220.0,2149674.99638891,40137443148.374596
2021-07-09 09:00:00,18220.0,18750.0,17480.0,18480.0,1458584.17912288,26508694918.871277
2021-07-10 09:00:00,18480.0,18820.0,17880.0,18070.0,792500.52905358,14451838657.151133
2021-07-11 09:00:00,18100.0,18480.0,17820.0,18170.0,676888.48999232,12296133630.322163
2021-07-12 09:00:00,18180.0,18360.0,17160.0,17580.0,1262512.06770641,22550982765.488003
2021-07-13 09:00:00,17590.0,17870.0,16700.0,16840.0,1077476.96561801,18476190337.742737
2021-07-14 09:00:00,16830.0,16840.0,15640.0,16250.0,1538732.10036528,24926031980.594883
2021-07-15 09:00:00,16250.0,16590.0,15170.0,15450.0,1363922.45836637,21465754107.675358
2021-07-16 09:00:00,15450.0,15690.0,14230.0,14280.0,1548381.54245854,23092523346.184616
2021-07-17 09:00:00,14300.0,15040.0,13850.0,14510.0,1350859.32895678,19309548118.264523
2021-07-18 09:00:00,14510.0,15270.0,14460.0,14980.0,1079260.9751197,16100332896.12566
2021-07-19 09:00:00,14980.0,15110.0,13600.0,13690.0,1812326.56375921,25445522740.41797
2021-07-20 09:00:00,13670.0,13800.0,12330.0,13000.0,1946864.26391829,25103835619.49113
2021-07-21 09:00:00,13000.0,15070.0,12630.0,14580.0,2038011.21726551,28592994623.401314
2021-07-22 09:00:00,14600.0,15680.0,14030.0,15420.0,2063855.10326731,30413236230.923077
2021-07-23 09:00:00,15420.0,15810.0,14590.0,15570.0,1765372.98964509,26964245168.191296
2021-07-24 09:00:00,15580.0,16390.0,15280.0,16110.0,1406276.0246424,22221100477.92559
2021-07-25 09:00:00,16110.0,16200.0,15320.0,15930.0,1220945.41234498,19156591797.552498
2021-07-26 09:00:00,15960.0,17660.0,15790.0,16100.0,3914324.44883919,66308552768.70886
2021-07-27 09:00:00,16090.0,16770.0,15430.0,16560.0,1992703.83135885,32154002354.35092
2021-07-28 09:00:00,16560.0,17100.0,16160.0,16850.0,1878489.4187551,31349689670.214783
2021-07-29 09:00:00,16850.0,17670.0,16490.0,17470.0,1548648.03962394,26481290323.28563
2021-07-30 09:00:00,17470.0,18240.0,16720.0,18240.0,1971604.90026686,34473662180.21734
2021-07-31 09:00:00,18230.0,19680.0,17870.0,19390.0,2292446.12954447,42987753682.08108
2021-08-01 09:00:00,19390.0,23500.0,19140.0,21330.0,9699095.18051426,210455309190.30484
2021-08-02 09:00:00,21340.0,21900.0,20360.0,20910.0,3531845.65978229,74749297534.38193
2021-08-03 09:00:00,20910.0,21580.0,19690.0,20440.0,1920224.66894623,39543706148.195366
2021-08-04 09:00:00,20480.0,22610.0,20000.0,22050.0,2373914.31954496,50601226296.93682
2021-08-05 09:00:00,22050.0,22510.0,20950.0,22070.0,1869976.74582666,40905278868.657005
2021-08-06 09:00:00,22090.0,23930.0,21470.0,23480.0,1907380.00300729,43393116452.498405
2021-08-07 09:00:00,23520.0,24890.0,23160.0,23980.0,2025595.60192254,48490265364.982765
2021-08-08 09:00:00,24000.0,24300.0,22350.0,22800.0,1469521.01385926,34462917345.88722
2021-08-09 09:00:00,22800.0,24380.0,21660.0,23540.0,1457864.7732149,33710227979.76491
2021-08-10 09:00:00,23540.0,24490.0,23320.0,23700.0,1441809.44278625,34300715226.580738
2021-08-11 09:00:00,23710.0,25680.0,23620.0,24660.0,1722403.4508233,42529320227.20921
2021-08-12 09:00:00,24650.0,25800.0,23460.0,24320.0,2122903.56328869,52086717220.616196
2021-08-13 09:00:00,24330.0,26260.0,23940.0,26210.0,1897533.72672562,47944880856.91243
2021-08-14 09:00:00,26200.0,27150.0,25300.0,26660.0,2435587.1827637,63960769469.47823
2021-08-15 09:00:00,26680.0,27210.0,25570.0,27000.0,2177136.50965204,57507618496.241005
2021-08-16 09:00:00,26980.0,29710.0,26490.0,28640.0,4997325.72846095,141597317056.37253
2021-08-17 09:00:00,28650.0,32190.0,27260.0,27750.0,8201304.00089664,247697674291.5921
2021-08-18 09:00:00,27750.0,30040.0,26530.0,28160.0,6785765.60825983,191444811371.9787
2021-08-19 09:00:00,28160.0,31360.0,27770.0,31250.0,4300771.32075805,126082370512.455
2021-08-20 09:00:00,31250.0,33490.0,30810.0,32840.0,4027204.82892978,129946797095.84274
2021-08-21 09:00:00,32880.0,34360.0,32090.0,32820.0,3281112.38333812,109332631310.05064
2021-08-22 09:00:00,32810.0,33560.0,31260.0,32350.0,2268925.38967589,73617639924.27002
2021-08-23 09:00:00,32380.0,33250.0,32020.0,32460.0,2570213.93183046,83864478743.38191
2021-08-24 09:00:00,32460.0,32780.0,29250.0,29550.0,2354971.49670168,73056993901.75586
2021-08-25 09:00:00,29540.0,31060.0,28620.0,30340.0,2337609.63692751,69864766703.8337
2021-08-26 09:00:00,30340.0,30770.0,27910.0,28230.0,1929793.36655996,56032369424.582436
2021-08-27 09:00:00,28230.0,31370.0,27590.0,31080.0,3071978.40757571,90792723277.14821
2021-08-28 09:00:00,31090.0,31400.0,30000.0,30510.0,1400574.71618921,42880464481.00012
2021-08-29 09:00:00,30510.0,30970.0,29800.0,30230.0,1473708.64990033,44869525634.80108
2021-08-30 09:00:00,30170.0,32270.0,28930.0,30850.0,2045610.07665393,62275317955.27391
2021-08-31 09:00:00,30850.0,37650.0,30250.0,36700.0,11024294.86468755,383161058735.21497
2021-09-01 09:00:00,36700.0,39290.0,34750.0,38320.0,5352844.05264811,194608682854.98035
2021-09-02 09:00:00,38350.0,38350.0,36580.0,36970.0,1993685.91874161,74762941358.34473
2021-09-03 09:00:00,36970.0,39180.0,36180.0,38740.0,2389034.69677112,90948609624.78975
2021-09-04 09:00:00,38800.0,39500.0,37300.0,37580.0,1354771.05169419,51967936868.68623
2021-09-05 09:00:00,37600.0,39700.0,36950.0,39430.0,1402974.66036295,53514624643.63218
2021-09-06 09:00:00,39430.0,40450.0,37500.0,39680.0,1613950.70898814,63432113080.83427
2021-09-07 09:00:00,39680.0,41350.0,29000.0,33730.0,4874782.6292061,176550870836.53534
2021-09-08 09:00:00,33730.0,34980.0,30070.0,33520.0,3444929.373274,113533978703.44876
2021-09-09 09:00:00,33520.0,38050.0,32500.0,35950.0,3327858.34174327,117140343478.9045
2021-09-10 09:00:00,35910.0,39580.0,34600.0,35850.0,5399099.56895557,201583936309.6545
2021-09-11 09:00:00,35870.0,38900.0,34460.0,38300.0,2698897.46915927,98575008938.68333
2021-09-12 09:00:00,38280.0,43450.0,37320.0,42890.0,5170082.44859416,207454800331.42847
2021-09-13 09:00:00,42850.0,46030.0,39210.0,42060.0,9500143.58105398,408672590300.218
2021-09-14 09:00:00,42070.0,46900.0,41120.0,44960.0,4534181.12108318,201633502255.64984
2021-09-15 09:00:00,44960.0,45880.0,42790.0,43330.0,2572942.50968441,113034707010.33885
2021-09-16 09:00:00,43300.0,43840.0,41110.0,42580.0,1877429.99892923,79520434967.77089
2021-09-17 09:00:00,42580.0,44200.0,39430.0,40350.0,2292484.76730449,96549124521.41559
2021-09-18 09:00:00,40310.0,43440.0,39830.0,42370.0,2151873.03538517,90800586762.74196
2021-09-19 09:00:00,42370.0,42450.0,40510.0,41610.0,1617495.18583972,66957150635.95864
2021-09-20 09:00:00,41630.0,41640.0,33760.0,35400.0,6106887.94738845,228686421607.61816
2021-09-21 09:00:00,35400.0,37540.0,32020.0,32900.0,5157466.37771157,182175223033.9599
2021-09-22 09:00:00,32860.0,39500.0,31960.0,39050.0,5139807.77356583,183152793102.77347
2021-09-23 09:00:00,39050.0,40700.0,36780.0,40510.0,3732242.24117543,144415391413.8294
2021-09-24 09:00:00,40500.0,40620.0,35000.0,37560.0,8346434.35851885,312075793957.64374
2021-09-25 09:00:00,37560.0,39390.0,36100.0,36650.0,5294326.69257296,199468237136.07898
2021-09-26 09:00:00,36650.0,36910.0,33510.0,35310.0,5208929.75135168,184219695541.12637
2021-09-27 09:00:00,35310.0,36570.0,33870.0,34080.0,2644124.26012174,93323815505.66951
2021-09-28 09:00:00,34090.0,34580.0,32040.0,32310.0,2498095.50154312,83812948342.0778
2021-09-29 09:00:00,32300.0,34750.0,31860.0,33400.0,2219244.13653858,74398293349.46889
2021-09-30 09:00:00,33410.0,35300.0,33180.0,34930.0,2086685.19873162,71433530794.37515
2021-10-01 09:00:00,34950.0,39000.0,34850.0,38710.0,2910728.84495528,107320457807.49557
2021-10-02 09:00:00,38710.0,40700.0,38150.0,39100.0,2009778.35591707,79173239900.06956
2021-10-03 09:00:00,39090.0,39690.0,37900.0,39000.0,1894152.52639994,73758387119.16489
2021-10-04 09:00:00,39000.0,39080.0,36700.0,37980.0,1762582.20929269,66636748662.47511
2021-10-05 09:00:00,37980.0,38970.0,37120.0,37700.0,1545338.53275006,58791205714.567764
2021-10-06 09:00:00,37710.0,40000.0,35240.0,39020.0,2261451.76416157,85233376519.11874
2021-10-07 09:00:00,39030.0,43100.0,37620.0,41310.0,3358792.79671306,137381519169.49162
2021-10-08 09:00:00,41310.0,42000.0,40290.0,40700.0,1563752.35759263,64308390677.559166
2021-10-09 09:00:00,40700.0,45040.0,40410.0,44360.0,1794509.02512086,76800664206.4678
2021-10-10 09:00:00,44370.0,45880.0,42420.0,42710.0,1644207.58730831,72810583637.46138
2021-10-11 09:00:00,42710.0,44160.0,41590.0,42180.0,1203884.10594247,51774383282.786804
